,title,first_artist,all_artists,id,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,loudness_norm,tempo_norm,key_norm,time_signature_norm,labels
0,Don't You,G5SH,['G5SH'],6dOtW0CfQOGr3Y5OZVsNlb,0.693,0.703,7,-5.516,1,0.00215,0.000117,0.209,0.49700000000000005,130.069,157075,4,0.7500121141638805,0.448516741622039,0.6363636363636364,1.0,4
1,If You Wanna,Perfume,['Perfume'],7Gk4yhNhOQ35ukXdmW4zWl,0.5670000000000001,0.8059999999999999,9,-2.04,1,0.293,0.195,0.242,0.7240000000000001,149.976,163584,4,0.9184474487570868,0.5908509162668651,0.8181818181818182,1.0,4
2,In My Feelings,Drake,['Drake'],0bAkKNCQfWkexHFn7fIKns,0.735,0.48200000000000004,8,-9.445,1,0.006229999999999999,0.0144,0.44799999999999995,0.315,181.995,217933,4,0.5596259146193729,0.8197853583200465,0.7272727272727273,1.0,4
3,City Lights (feat. EVO+ & Jinmenusagi),HyperJuice,"['HyperJuice', 'EVO', 'Jinmenusagi']",41rLrTjd0p9Z1LI1jeeFHb,0.738,0.82,0,-3.181,1,0.0573,0.0,0.161,0.5489999999999999,131.025,248141,4,0.8631584048069002,0.4553520995845877,0.0,1.0,0
4,Save ME,BTS,['BTS'],0RB00aMsmBlr91i9r4Sfib,0.606,0.778,1,-4.393,1,0.0255,0.0,0.0819,0.528,139.865,196559,4,0.8044289383146775,0.5185577108700783,0.09090909090909091,1.0,0
5,SAD!,XXXTENTACION,['XXXTENTACION'],3ee8Jmje8o58CHK66QrVC2,0.74,0.613,8,-4.88,1,0.258,0.00372,0.12300000000000001,0.473,75.023,166606,4,0.7808305470756408,0.05494026211738795,0.7272727272727273,1.0,4
6,Ocean (feat. Khalid),Martin Garrix,"['Martin Garrix', 'Khalid']",3nc420PXjTdBV5TN0gCFkS,0.506,0.693,0,-7.265,0,0.584,9.58e-05,0.0891,0.221,139.912,216420,4,0.6652614236565393,0.5188937588033835,0.0,1.0,1
7,Do What I Want,Lil Uzi Vert,['Lil Uzi Vert'],4IWGnyOHDrVZEtPWfs4s7q,0.6809999999999999,0.701,9,-6.336,1,0.106,0.0,0.20800000000000002,0.39799999999999996,139.952,175203,4,0.710277656636139,0.5191797570444943,0.8181818181818182,1.0,4
8,쩔어 DOPE,BTS,['BTS'],0pGHou9D7JTMKbMfOLKy50,0.619,0.889,10,-3.108,0,0.0483,0.0,0.324,0.622,77.058,240021,4,0.8666957406599797,0.06949042263390087,0.9090909090909092,1.0,3
9,我不浪漫,Kimberley Chen,['Kimberley Chen'],60K4pIh2MiKveSXxgG4ouq,0.655,0.75,2,-3.234,0,0.0335,0.0,0.127,0.593,87.0,250378,4,0.8605902020642535,0.14057528546199444,0.18181818181818182,1.0,1
10,Young Dumb & Broke,Khalid,['Khalid'],5Z3GHaZ6ec9bsiI5BenrbY,0.7979999999999999,0.539,1,-6.351,1,0.19899999999999998,1.66e-05,0.165,0.39399999999999996,136.94899999999998,202547,4,0.7095508068033145,0.49770843909309953,0.09090909090909091,1.0,0
11,櫻花樹下,Hins Cheung,['Hins Cheung'],2FgDWCqMCIAATvqr9ozeYm,0.415,0.498,9,-5.022,1,0.659,0.0,0.19699999999999998,0.3,143.68,249987,4,0.7739497019915685,0.5458347931160226,0.8181818181818182,1.0,2
12,Like A Mercedes,Lexie Liu,['Lexie Liu'],1PJcFbsMcKLjZgklxrHPAN,0.608,0.727,1,-7.282,0,0.0377,0.0,0.0888,0.504,166.051,212823,4,0.6644376605126714,0.7057864594132748,0.09090909090909091,1.0,1
13,rockstar (feat. 21 Savage),Post Malone,"['Post Malone', '21 Savage']",0e7ipj03S05BNilyu5bRzt,0.585,0.52,5,-6.136,0,0.124,7.01e-05,0.131,0.129,159.80100000000002,218147,4,0.7199689877404661,0.6610992342397097,0.4545454545454546,1.0,1
14,Need U Now,Julia Wu,['Julia Wu'],6yIaJDuVNOxENVkzyILhCi,0.627,0.568,5,-7.0920000000000005,1,0.301,0.0,0.168,0.47200000000000003,127.774,188743,4,0.6736444250617822,0.43210759253830594,0.4545454545454546,1.0,4
15,有何不可,許嵩,['許嵩'],5rXBmcYNJYMYdhwxlMLh0s,0.5489999999999999,0.521,6,-6.119,1,0.47200000000000003,1.96e-06,0.0978,0.7709999999999999,202.017,240027,4,0.7207927508843339,0.962941777908066,0.5454545454545454,1.0,4
16,日落大道,梁博,['梁博'],7qIm3F7GqOrigJsKadawEZ,0.581,0.47,11,-8.344,1,0.128,4.33e-05,0.11199999999999999,0.235,128.076,275435,4,0.6129766923486941,0.4342668792586926,1.0,1.0,4
17,One Dance,Drake,"['Drake', 'WizKid', 'Kyla']",12VWzyPDBCc8fqeWCAfNwR,0.792,0.625,1,-5.609,1,0.0077599999999999995,0.0018800000000000002,0.32899999999999996,0.37,103.96700000000001,173987,4,0.7455056452003683,0.2618885893851754,0.09090909090909091,1.0,0
18,戀愛達人,Show Luo,['Show Luo'],7yem27EktuPjs9JqYWCiZz,0.763,0.615,0,-6.664,1,0.0534,0.0,0.127,0.624,98.007,210267,4,0.6943838736250425,0.21927485145966358,0.0,1.0,0
19,Better Now,Post Malone,['Post Malone'],7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,10,-5.803999999999999,1,0.331,0.0,0.135,0.341,145.03799999999998,231267,4,0.7360565973736493,0.5555444334017345,0.9090909090909092,1.0,4
20,Realize - Myanmar Version,Rose Quartz,['Rose Quartz'],1jS6puyhOgHIEH6pl5FMZp,0.785,0.8690000000000001,9,-3.0669999999999997,1,0.326,1.89e-05,0.0501,0.21600000000000003,106.01,222736,4,0.8686824635363668,0.27649594954991036,0.8181818181818182,1.0,4
21,我只是你的夢境,Astro Bunny,['Astro Bunny'],012ngpf9pRtNLWnWVBVPop,0.622,0.862,4,-7.099,0,0.0493,0.000688,0.354,0.315,104.01799999999999,223817,4,0.6733052284731308,0.2622532371425916,0.36363636363636365,1.0,1
22,僕はロボットごしの君に恋をする,THE SxPLAY,['THE SxPLAY'],39Gho28UEGPOmhPuFCNgWS,0.7090000000000001,0.677,9,-3.677,1,0.774,0.0,0.155,0.375,109.976,290293,4,0.8391239036681688,0.3048526751560478,0.8181818181818182,1.0,2
23,敢 Roleplay,Lu Han,['Lu Han'],3m1nz39Ke2fLUEb1AOdEUR,0.7879999999999999,0.8240000000000001,9,-6.432,1,0.0613,5.28e-06,0.0283,0.653,143.954,159314,4,0.7056258177060619,0.5477938810676317,0.8181818181818182,1.0,4
24,Going Bad (feat. Drake),Meek Mill,"['Meek Mill', 'Drake']",2IRZnDFmlqMuOrYOLnZZyc,0.889,0.496,4,-6.365,0,0.259,0.0,0.252,0.544,86.00299999999999,180522,4,0.7088724136260116,0.13344677930230725,0.36363636363636365,1.0,1
25,勇敢去愛吧,Tiger Hu,['Tiger Hu'],798A1AbXluls2TtL3rKkSU,0.647,0.7929999999999999,5,-4.919,1,0.106,1.14e-06,0.37,0.585,99.93700000000001,238653,4,0.778940737510297,0.23307426659326064,0.4545454545454546,1.0,4
26,打個牌,G5SH,['G5SH'],0V6luheDNQz5KexcDWET0P,0.7020000000000001,0.654,11,-6.175,0,0.0339,2.06e-06,0.0779,0.62,120.985,214215,4,0.7180791781751223,0.38356654106577254,1.0,1.0,3
27,望,張涵雅,['張涵雅'],0IczofX5iiwUhTeH54EpSy,0.64,0.836,3,-9.8,1,0.377,0.000171,0.141,0.386,137.985,218500,4,0.5424238019091923,0.5051157935378698,0.2727272727272727,1.0,0
28,我當你空氣,WONFU,['WONFU'],6PGJkZrbR06YVnS0w4thLk,0.795,0.659,1,-6.274,0,0.12300000000000001,2.07e-05,0.16899999999999998,0.65,119.932,235668,4,0.7132819692784804,0.3760376373685303,0.09090909090909091,1.0,1
29,Feels Great (feat. Fetty Wap & CVBZ),Cheat Codes,"['Cheat Codes', 'Fetty Wap', 'CVBZ']",5uu28fUesZMl89lf9CLrgN,0.522,0.833,0,-3.715,1,0.0454,0.0,0.127,0.29600000000000004,180.00900000000001,193569,4,0.8372825507583467,0.8055855456488945,0.0,1.0,0
30,天使見證的愛情,蕭秉治,"['蕭秉治', 'Erika']",46k8JnUuYVu8yWtC3VN8wo,0.637,0.7170000000000001,7,-6.792999999999999,1,0.153,0.0,0.078,0.518,160.02700000000002,203199,4,0.6881329650627515,0.6627151243019858,0.6363636363636364,1.0,4
31,多愛,G5SH,['G5SH'],7lmJuMOXIPplwz8TphSZdF,0.7,0.705,1,-4.76,0,0.0249,0.0,0.10400000000000001,0.235,144.013,226221,4,0.7866453457382372,0.54821572847327,0.09090909090909091,1.0,1
