title,first_artist,all_artists,id,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Don't You,G5SH,['G5SH'],6dOtW0CfQOGr3Y5OZVsNlb,0.693,0.703,7,-5.516,1,0.00215,0.000117,0.209,0.497,130.069,157075,4
If You Wanna,Perfume,['Perfume'],7Gk4yhNhOQ35ukXdmW4zWl,0.567,0.806,9,-2.04,1,0.293,0.195,0.242,0.724,149.976,163584,4
In My Feelings,Drake,['Drake'],0bAkKNCQfWkexHFn7fIKns,0.735,0.482,8,-9.445,1,0.00623,0.0144,0.448,0.315,181.995,217933,4
City Lights (feat. EVO+ & Jinmenusagi),HyperJuice,"['HyperJuice', 'EVO', 'Jinmenusagi']",41rLrTjd0p9Z1LI1jeeFHb,0.738,0.82,0,-3.181,1,0.0573,0.0,0.161,0.549,131.025,248141,4
Save ME,BTS,['BTS'],0RB00aMsmBlr91i9r4Sfib,0.606,0.778,1,-4.393,1,0.0255,0.0,0.0819,0.528,139.865,196559,4
SAD!,XXXTENTACION,['XXXTENTACION'],3ee8Jmje8o58CHK66QrVC2,0.74,0.613,8,-4.88,1,0.258,0.00372,0.123,0.473,75.023,166606,4
Ocean (feat. Khalid),Martin Garrix,"['Martin Garrix', 'Khalid']",3nc420PXjTdBV5TN0gCFkS,0.506,0.693,0,-7.265,0,0.584,9.58e-05,0.0891,0.221,139.912,216420,4
Do What I Want,Lil Uzi Vert,['Lil Uzi Vert'],4IWGnyOHDrVZEtPWfs4s7q,0.681,0.701,9,-6.336,1,0.106,0.0,0.208,0.398,139.952,175203,4
쩔어 DOPE,BTS,['BTS'],0pGHou9D7JTMKbMfOLKy50,0.619,0.889,10,-3.108,0,0.0483,0.0,0.324,0.622,77.058,240021,4
我不浪漫,Kimberley Chen,['Kimberley Chen'],60K4pIh2MiKveSXxgG4ouq,0.655,0.75,2,-3.234,0,0.0335,0.0,0.127,0.593,87.0,250378,4
Young Dumb & Broke,Khalid,['Khalid'],5Z3GHaZ6ec9bsiI5BenrbY,0.798,0.539,1,-6.351,1,0.199,1.66e-05,0.165,0.394,136.949,202547,4
櫻花樹下,Hins Cheung,['Hins Cheung'],2FgDWCqMCIAATvqr9ozeYm,0.415,0.498,9,-5.022,1,0.659,0.0,0.197,0.3,143.68,249987,4
Like A Mercedes,Lexie Liu,['Lexie Liu'],1PJcFbsMcKLjZgklxrHPAN,0.608,0.727,1,-7.282,0,0.0377,0.0,0.0888,0.504,166.051,212823,4
rockstar (feat. 21 Savage),Post Malone,"['Post Malone', '21 Savage']",0e7ipj03S05BNilyu5bRzt,0.585,0.52,5,-6.136,0,0.124,7.01e-05,0.131,0.129,159.801,218147,4
Need U Now,Julia Wu,['Julia Wu'],6yIaJDuVNOxENVkzyILhCi,0.627,0.568,5,-7.092,1,0.301,0.0,0.168,0.472,127.774,188743,4
有何不可,許嵩,['許嵩'],5rXBmcYNJYMYdhwxlMLh0s,0.549,0.521,6,-6.119,1,0.472,1.96e-06,0.0978,0.771,202.017,240027,4
日落大道,梁博,['梁博'],7qIm3F7GqOrigJsKadawEZ,0.581,0.47,11,-8.344,1,0.128,4.33e-05,0.112,0.235,128.076,275435,4
One Dance,Drake,"['Drake', 'WizKid', 'Kyla']",12VWzyPDBCc8fqeWCAfNwR,0.792,0.625,1,-5.609,1,0.00776,0.00188,0.329,0.37,103.967,173987,4
戀愛達人,Show Luo,['Show Luo'],7yem27EktuPjs9JqYWCiZz,0.763,0.615,0,-6.664,1,0.0534,0.0,0.127,0.624,98.007,210267,4
Better Now,Post Malone,['Post Malone'],7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,10,-5.804,1,0.331,0.0,0.135,0.341,145.038,231267,4
Realize - Myanmar Version,Rose Quartz,['Rose Quartz'],1jS6puyhOgHIEH6pl5FMZp,0.785,0.869,9,-3.067,1,0.326,1.89e-05,0.0501,0.216,106.01,222736,4
我只是你的夢境,Astro Bunny,['Astro Bunny'],012ngpf9pRtNLWnWVBVPop,0.622,0.862,4,-7.099,0,0.0493,0.000688,0.354,0.315,104.018,223817,4
僕はロボットごしの君に恋をする,THE SxPLAY,['THE SxPLAY'],39Gho28UEGPOmhPuFCNgWS,0.709,0.677,9,-3.677,1,0.774,0.0,0.155,0.375,109.976,290293,4
敢 Roleplay,Lu Han,['Lu Han'],3m1nz39Ke2fLUEb1AOdEUR,0.788,0.824,9,-6.432,1,0.0613,5.28e-06,0.0283,0.653,143.954,159314,4
Going Bad (feat. Drake),Meek Mill,"['Meek Mill', 'Drake']",2IRZnDFmlqMuOrYOLnZZyc,0.889,0.496,4,-6.365,0,0.259,0.0,0.252,0.544,86.003,180522,4
勇敢去愛吧,Tiger Hu,['Tiger Hu'],798A1AbXluls2TtL3rKkSU,0.647,0.793,5,-4.919,1,0.106,1.14e-06,0.37,0.585,99.937,238653,4
打個牌,G5SH,['G5SH'],0V6luheDNQz5KexcDWET0P,0.702,0.654,11,-6.175,0,0.0339,2.06e-06,0.0779,0.62,120.985,214215,4
望,張涵雅,['張涵雅'],0IczofX5iiwUhTeH54EpSy,0.64,0.836,3,-9.8,1,0.377,0.000171,0.141,0.386,137.985,218500,4
我當你空氣,WONFU,['WONFU'],6PGJkZrbR06YVnS0w4thLk,0.795,0.659,1,-6.274,0,0.123,2.07e-05,0.169,0.65,119.932,235668,4
Feels Great (feat. Fetty Wap & CVBZ),Cheat Codes,"['Cheat Codes', 'Fetty Wap', 'CVBZ']",5uu28fUesZMl89lf9CLrgN,0.522,0.833,0,-3.715,1,0.0454,0.0,0.127,0.296,180.009,193569,4
天使見證的愛情,蕭秉治,"['蕭秉治', 'Erika']",46k8JnUuYVu8yWtC3VN8wo,0.637,0.717,7,-6.793,1,0.153,0.0,0.078,0.518,160.027,203199,4
多愛,G5SH,['G5SH'],7lmJuMOXIPplwz8TphSZdF,0.7,0.705,1,-4.76,0,0.0249,0.0,0.104,0.235,144.013,226221,4
Love Lies (with Normani),Khalid,"['Khalid', 'Normani']",45Egmo7icyopuzJN0oMEdk,0.708,0.648,6,-5.626,1,0.0956,0.0,0.134,0.338,143.955,201707,4
Dawn of us,Jackson Wang,['Jackson Wang'],2NpKyrIlJOHszUS2cXpEMU,0.834,0.588,0,-6.243,1,0.387,4.25e-06,0.112,0.489,141.944,179834,4
我好想好想你,蕭秉治,['蕭秉治'],1OGfogSzNgcmfZTblG7bi5,0.523,0.613,5,-5.812,0,0.0873,0.0,0.128,0.246,81.531,259162,4
情侶鞋,G5SH,['G5SH'],7wPZGWCCpP6wpzrxjiKJzy,0.71,0.654,6,-5.356,1,0.0709,0.0,0.207,0.622,101.94,182806,4
當我成了妳,呆寶靜,['呆寶靜'],62KHwCjpfVY2kpRq3OCDsz,0.931,0.865,7,-5.098,1,0.575,0.00065,0.109,0.712,105.011,172365,4
Strawberries & Cigarettes,Troye Sivan,['Troye Sivan'],2z7UKVsBdbA7HFPunDKDP4,0.514,0.539,9,-8.696,1,0.158,0.0,0.0902,0.274,168.062,201547,4
I Need U,BTS,['BTS'],3RlcLpMmRvSd84Uw6Yt4Iw,0.486,0.88,5,-3.097,0,0.0215,0.0,0.24,0.71,158.043,210987,4
8TEEN,Khalid,['Khalid'],5bgwqaRSS3M8WHWruHgSL5,0.83,0.585,1,-5.802,1,0.225,0.00209,0.0576,0.642,105.03,228600,4
Stay,TAEYEON,['TAEYEON'],1fvLCkVS7xfD5kvUzzacoS,0.631,0.725,2,-2.449,1,0.127,0.0,0.118,0.414,104.953,252977,4
Noi Nay Co Anh,Sơn Tùng M-TP,['Sơn Tùng M-TP'],6efaWmqWQxnWFGcFN2BqDW,0.523,0.85,0,-5.245,1,0.0449,0.000827,0.13,0.37,91.983,260128,4
Tower Light Fireworks,iMeiden,"['iMeiden', 'Rachie']",0GbffRMuecaBb3hesnN26x,0.597,0.637,2,-8.988,1,0.384,0.0,0.303,0.585,99.975,258600,4
OTW,Khalid,"['Khalid', '6LACK', 'Ty Dolla $ign']",6Hgh47WXVKtXN5zGOu0hjI,0.652,0.678,2,-6.183,1,0.183,3.26e-05,0.106,0.28,72.989,263014,4
一笑傾城,Silence Wang,['Silence Wang'],0L7rQrY1zzUYUzJAkUuZ0B,0.734,0.661,0,-7.869,1,0.0603,2.93e-06,0.0886,0.36,117.98,231910,4
This Is the Moment,Selectracks,['Selectracks'],7iGf7mj3yfIdPSJR2GYpSa,0.532,0.88,7,-4.972,1,0.00123,0.00169,0.214,0.708,98.013,219107,4
半天空檔,Kaho Hung,['Kaho Hung'],5NCCX9hbf2BmJ47bSebdc3,0.709,0.724,0,-5.751,1,0.175,0.0,0.257,0.785,111.484,206768,4
View,SHINee,['SHINee'],46E1ic6n099e76t5J1TbHn,0.728,0.801,6,-4.428,0,0.04,0.0,0.0415,0.656,123.953,190821,4
Somebody,The Chainsmokers,"['The Chainsmokers', 'Drew Love']",3pWcj8hxj3fsb9TDAcMpEl,0.532,0.616,10,-7.074,0,0.186,0.0,0.0928,0.292,101.883,223147,4
Blood Sweat & Tears,BTS,['BTS'],5RGf8qn1TBWVplLyyKUsuV,0.583,0.885,0,-3.571,0,0.0244,0.0,0.357,0.601,92.959,217052,4
Killin' Me (aNueNue MC色彩吉他宣傳曲),Gail,['Gail'],5PpPbVrs8A420BrabyPOGa,0.843,0.465,2,-8.574,1,0.531,0.0,0.163,0.697,133.925,156716,4
You Can Be MY GirlFriend,KUN,['KUN'],1txiXz73N9Ji7DMep90YgJ,0.846,0.758,6,-3.245,1,0.0445,0.0,0.189,0.668,127.999,184163,4
